VaccinationDate,age_group,first_dose,second_dose
2021-02-16,80-89,770,962
2021-02-16,70-79,1812,1939
2021-02-16,40-49,12698,18988
2021-02-16,60-69,3833,3505
2021-02-16,50-59,7606,8467
2021-02-16,30-39,21425,13712
2021-02-16,20-29,26521,15866
2021-02-16,0-19,8488,14360
2021-02-17,60-69,2384,2999
2021-02-17,70-79,959,1593
2021-02-17,40-49,9750,18276
2021-02-17,30-39,15884,12832
2021-02-17,90+,86,160
2021-02-17,80-89,370,708
2021-02-17,0-19,6344,14979
2021-02-17,20-29,20631,15842
2021-02-17,50-59,5389,7949
2021-02-18,50-59,6345,7947
2021-02-18,60-69,2866,3058
2021-02-18,30-39,17959,18768
2021-02-18,70-79,1048,1492
2021-02-18,90+,69,146
2021-02-18,40-49,11158,17725
2021-02-18,20-29,21855,15656
2021-02-18,80-89,386,640
2021-02-18,0-19,7290,14061
2021-02-19,50-59,3539,3692
2021-02-19,20-29,12678,6215
2021-02-19,90+,25,54
2021-02-19,60-69,1483,1330
2021-02-19,40-49,6390,9325
2021-02-19,70-79,475,592
2021-02-19,30-39,10568,10358
2021-02-19,80-89,184,259
2021-02-19,0-19,4217,6168
2021-02-20,70-79,435,393
2021-02-20,40-49,5221,7710
2021-02-20,30-39,7629,8138
2021-02-20,50-59,2939,2881
2021-02-20,0-19,3900,4451
2021-02-20,20-29,10139,4042
2021-02-20,60-69,1132,862
2021-02-20,80-89,160,145
2021-02-20,90+,28,21
2021-02-21,0-19,8545,10050
2021-02-21,80-89,767,825
2021-02-21,50-59,7312,7625
2021-02-21,40-49,12462,17576
2021-02-21,60-69,3804,3242
2021-02-21,70-79,1833,1730
2021-02-21,90+,174,212
2021-02-21,20-29,23840,14386
2021-02-21,30-39,20577,22698
2021-02-22,0-19,8640,9507
2021-02-22,20-29,25439,18460
2021-02-22,80-89,880,875
2021-02-22,50-59,7698,7636
2021-02-22,40-49,13002,15148
2021-02-22,70-79,2120,1758
2021-02-22,90+,207,245
2021-02-22,60-69,4174,3215
2021-02-22,30-39,22715,23512
2021-02-23,20-29,23924,16242
2021-02-23,0-19,8435,9105
2021-02-23,50-59,6990,6588
2021-02-23,40-49,11648,13032
2021-02-23,70-79,1853,1680
2021-02-23,30-39,19661,19605
2021-02-23,60-69,3682,2869
2021-02-23,80-89,844,882
2021-02-23,90+,156,226
2021-02-24,20-29,18746,15869
2021-02-24,80-89,709,815
2021-02-24,0-19,6829,7775
2021-02-24,70-79,1563,1567
2021-02-24,30-39,15147,17191
2021-02-24,90+,156,195
2021-02-24,60-69,2946,2688
2021-02-24,40-49,9278,10910
2021-02-24,50-59,5501,5862
2021-02-25,80-89,615,648
2021-02-25,20-29,15243,18307
2021-02-25,90+,141,160
2021-02-25,70-79,1228,1231
2021-02-25,40-49,8277,10264
2021-02-25,60-69,2643,2296
2021-02-25,30-39,12891,20686
2021-02-25,0-19,5388,5603
2021-02-25,50-59,5083,5348
2021-02-26,80-89,289,240
2021-02-26,90+,51,67
2021-02-26,0-19,2642,2719
2021-02-26,70-79,521,530
2021-02-26,30-39,6691,10534
2021-02-26,40-49,4279,5322
2021-02-26,60-69,1185,1075
2021-02-26,20-29,7505,8675
2021-02-26,50-59,2590,2725
2021-02-27,90+,17,34
2021-02-27,30-39,4159,6897
2021-02-27,70-79,344,265
2021-02-27,20-29,5737,6522
2021-02-27,0-19,2525,1960
2021-02-27,80-89,143,123
2021-02-27,60-69,739,559
2021-02-27,40-49,2866,3162
2021-02-27,50-59,1725,1606
2021-02-28,70-79,1110,1134
